Warning: truncated output (original token count: 28163)
Total output lines: 1213

date,cash,market_value,positions,return,drawdown
2020-02-21,104523.4073060244,1029178.4073060243,18,-0.0009513100053833989,-0.020058333958007712
2020-02-24,98984.35697904948,1051872.3569790495,20,0.022050549751066795,0.0
2020-02-25,98984.35697904948,1056781.3569790495,20,0.004666916063940096,0.0
2020-02-26,98984.35697904948,1029876.3569790495,20,-0.02545938175604412,-0.02545938175604412
2020-02-27,98984.35697904948,1034349.3569790495,20,0.004343239816787969,-0.021226718139809808
2020-02-28,98984.35697904948,967957.3569790495,20,-0.06418721058995613,-0.08405144490239236
2020-03-02,42748.613517704485,992132.6135177045,20,0.024975538813098996,-0.061175136213750037
2020-03-03,42748.613517704485,1003080.6135177045,20,0.011034815155589683,-0.05081537737839714
2020-03-04,42748.613517704485,995619.6135177045,20,-0.007438086131318022,-0.05787549435597916
2020-03-05,42748.613517704485,1009196.6135177045,20,0.013636734166003528,-0.04502799292123427
2020-03-06,42748.613517704485,1053943.6135177044,20,0.04433922924496114,-0.0026852701768482756
2020-03-09,9007.25399919942,970236.2539991994,19,-0.07942299611183035,-0.08189499408586354
2020-03-10,9007.25399919942,947857.2539991994,19,-0.02306551616449748,-0.10307155994048212
2020-03-11,9007.25399919942,936386.2539991994,19,-0.012102033245619537,-0.11392621774102407
2020-03-12,9007.25399919942,908451.2539991994,19,-0.029832774542228435,-0.14036025711493583
2020-03-13,9007.25399919942,876929.2539991994,19,-0.03469861466009683,-0.1701885652998094
2020-03-16,61616.02507394937,857159.0250739494,20,-0.0225448390905979,-0.18889653057066336
2020-03-17,61616.02507394937,868649.0250739494,20,0.0134047471518004,-0.17802389364901505
2020-03-18,61616.02507394937,854262.0250739494,20,-0.016562500601178032,-0.19163787340460725
2020-03-19,61616.02507394937,821533.0250739494,20,-0.03831260086408128,-0.22260832891449644
2020-03-20,61616.02507394937,867020.0250739494,20,0.055368437557218764,-0.1795653667164968
2020-03-23,21148.630751689307,696142.6307516893,17,-0.1970858681236176,-0.3412614386558579
2020-03-24,21148.630751689307,689805.6307516893,17,-0.009103019582577976,-0.34725794867957294
2020-03-25,21148.630751689307,702286.6307516893,17,0.018093502638416137,-0.33544755865180165
2020-03-26,21148.630751689307,690401.6307516893,17,-0.016923289550989984,-0.34669397203855445
2020-03-27,21148.630751689307,680105.6307516893,17,-0.014913058633407306,-0.3564367631391019
2020-03-30,21758.580371759203,684051.5803717592,20,0.0058019658147936415,-0.3527028312391771
2020-03-31,21758.580371759203,678828.5803717592,20,-0.007635389128348269,-0.35764519700434416
2020-04-01,21758.580371759203,664898.5803717592,20,-0.020520644537935118,-0.37082673158385326
